date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:44	70424/70424	---MC-	200	added ('OK')	text/html	date:Wed,%2018%20Dec%202019%2005:52:43%20GMT	https://www.dezvolta.com/	/home/sripaad/Desktop/Projects/sitegurus/www.dezvolta.com/index.html	(from )
11:22:44	285/285	---MC-	200	added ('OK')	text/plain	date:Wed,%2018%20Dec%202019%2005:52:43%20GMT	https://www.dezvolta.com/robots.txt		(from )
11:22:46	26053/26053	---MCZ	200	added ('OK')	text/css	date:Thu,%2013%20Dec%202018%2002:05:38%20GMT	https://tsg.b-cdn.net/aos.css	/home/sripaad/Desktop/Projects/sitegurus/tsg.b-cdn.net/aos.css	(from https://www.dezvolta.com/)
11:22:46	64220/64220	---MCZ	200	added ('OK')	application/javascript	etag:W/%221321fd7738f58a71d6f2b6d1b39adb80%22	https://collectcdn.com/launcher.js	/home/sripaad/Desktop/Projects/sitegurus/collectcdn.com/launcher.js	(from https://www.dezvolta.com/)
11:22:46	1603/1603	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Dec%202019%2005:52:45%20GMT	https://fonts.googleapis.com/	/home/sripaad/Desktop/Projects/sitegurus/fonts.googleapis.com/index.html	(from https://www.dezvolta.com/)
11:22:46	683/683	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Dec%202019%2005:52:45%20GMT	https://tsg.b-cdn.net/	/home/sripaad/Desktop/Projects/sitegurus/tsg.b-cdn.net/index.html	(from https://www.dezvolta.com/)
11:22:47	155758/155758	---MCZ	200	added ('OK')	text/css	date:Tue,%2012%20Nov%202019%2007:01:20%20GMT	https://tsg.b-cdn.net/bootstrap.min.css	/home/sripaad/Desktop/Projects/sitegurus/tsg.b-cdn.net/bootstrap.min.css	(from https://www.dezvolta.com/)
11:22:48	1424/1424	---MC-	200	added ('OK')	text/css	date:Wed,%2018%20Dec%202019%2005:52:47%20GMT	https://fonts.googleapis.com/css?family=Fira+Sans:100,300,400,700|Unlock|Lobster	/home/sripaad/Desktop/Projects/sitegurus/fonts.googleapis.com/css75f5.css	(from https://www.dezvolta.com/)
11:22:48	64185/64185	---MCZ	200	added ('OK')	text/css	date:Fri,%2015%20Nov%202019%2012:31:57%20GMT	https://tsg.b-cdn.net/dezvolta1c.css	/home/sripaad/Desktop/Projects/sitegurus/tsg.b-cdn.net/dezvolta1c.css	(from https://www.dezvolta.com/)
11:22:49	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Dec%202019%2005:52:49%20GMT	http://s.w.org/	/home/sripaad/Desktop/Projects/sitegurus/s.w.org/index.html	(from https://www.dezvolta.com/)
11:22:49	743/743	---MC-	200	added ('OK')	application/rss+xml	etag:%22f474343f786496a4ec559b5bc330e853%22	https://www.dezvolta.com/comments/feed/	/home/sripaad/Desktop/Projects/sitegurus/www.dezvolta.com/comments/feed/index.html	(from https://www.dezvolta.com/)
11:22:49	68210/68210	---MC-	200	added ('OK')	application/rss+xml	etag:%2257e3b8aa5e8f22a654930c9838548b06%22	https://www.dezvolta.com/feed/	/home/sripaad/Desktop/Projects/sitegurus/www.dezvolta.com/feed/index.html	(from https://www.dezvolta.com/)
11:22:50	810/810	---MC-	200	added ('OK')	text/xml	date:Wed,%2018%20Dec%202019%2005:52:49%20GMT	https://www.dezvolta.com/xmlrpc.php?rsd	/home/sripaad/Desktop/Projects/sitegurus/www.dezvolta.com/xmlrpc0db0.php	(from https://www.dezvolta.com/)
11:22:50	77329/77329	---MC-	200	added ('OK')	application/json	date:Wed,%2018%20Dec%202019%2005:52:49%20GMT	https://www.dezvolta.com/wp-json/	/home/sripaad/Desktop/Projects/sitegurus/www.dezvolta.com/wp-json/index.html	(from https://www.dezvolta.com/)
11:22:50	1045/1045	---M--	200	added ('OK')	application/xml	date:Thu,%2012%20Dec%202013%2006:19:12%20GMT	https://www.dezvolta.com/wp-includes/wlwmanifest.xml	/home/sripaad/Desktop/Projects/sitegurus/www.dezvolta.com/wp-includes/wlwmanifest.xml	(from https://www.dezvolta.com/)
11:22:52	2187/2187	---MC-	200	added ('OK')	application/json	date:Wed,%2018%20Dec%202019%2005:52:50%20GMT	https://www.dezvolta.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.dezvolta.com%2F	/home/sripaad/Desktop/Projects/sitegurus/www.dezvolta.com/wp-json/oembed/1.0/embed463c.json	(from https://www.dezvolta.com/)
11:22:53	2285/2285	---MC-	200	added ('OK')	text/xml	date:Wed,%2018%20Dec%202019%2005:52:51%20GMT	https://www.dezvolta.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.dezvolta.com%2F&format=xml	/home/sripaad/Desktop/Projects/sitegurus/www.dezvolta.com/wp-json/oembed/1.0/embed8dd0	(from https://www.dezvolta.com/)
